SSN,Last Name,First Name,Rank,Direct supervisor,Salary,Title
494880718,Bolton,Denzel,12,"Bolton, D",529212,President
451849194,Atkins,Malaki,5,"Huges, V",231665,Manager
736273804,Ayers,Reese,5,"Huges, V",221835,Manager
579198244,Baxter,Bryant,5,"Barton, S",175220,Manager
660662251,Carrillo,Greta,5,"Gonzales, T",246770,Manager
827300038,Davidson,Laney,5,"Singh, C",214505,Manager
686511883,Duran,Genesis,5,"Singh, C",157470,Manager
357332238,Garner,Josue,5,"Huges, V",242795,Manager
642132217,Gilmore,Greta,5,"Gonzales, T",170885,Manager
755205364,Hess,Araceli,5,"Barton, S",182865,Manager
611918195,Hooper,Nadia,5,"Gonzales, T",183995,Manager
275082376,Lambert,Pamela,5,"Mcintosh, K",202420,Manager
502483355,Montes,Derick,5,"Barton, S",198960,Manager
859634862,Moon,Ross,5,"Mcintosh, K",239325,Manager
519740954,Phillips,Angelo,5,"Gonzales, T",193080,Manager
893028803,Rubio,Kyson,5,"Travis, M",246450,Manager
882225194,Thompson,Ignacio,5,"Singh, C",242535,Manager
634591233,Velazquez,Ethan,5,"Gonzales, T",195780,Manager
668313828,Webb,Oscar,5,"Singh, C",246720,Manager
282142668,Wilkins,Amir,5,"Singh, C",234445,Manager
336470587,Woodard,Yurem,5,"Barton, S",172750,Manager
876581271,Acosta,Kenyon,2,"Baxter, B",99598,Employee
839329711,Adkins,Makhi,2,"Gilmore, G",69476,Employee
476890746,Archer,Nash,2,"Rubio, K",72952,Employee
904343681,Arellano,Myah,2,"Rubio, K",69420,Employee
280920837,Ayala,Ramiro,2,"Baxter, B",81704,Employee
732514756,Ayers,Marlene,2,"Gilmore, G",88528,Employee
386858156,Ball,Carter,2,"Gilmore, G",81678,Employee
916421624,Barker,Ignacio,2,"Ayers, R",67136,Employee
267311183,Barr,Harrison,2,"Gilmore, G",76404,Employee
704222917,Barr,Princess,2,"Gilmore, G",72410,Employee
739586071,Beard,Arjun,2,"Webb, O",79948,Employee
534754080,Bell,Eddie,2,"Gilmore, G",87330,Employee
768349839,Beltran,Travis,2,"Webb, O",62878,Employee
306763205,Bennett,Kelvin,2,"Ayers, R",79748,Employee
800479641,Benton,Selah,2,"Baxter, B",61996,Employee
307257617,Berg,Jordyn,2,"Baxter, B",99888,Employee
